DateMonth,Item,WH,Outage,IsExpFlagged,Item_Code
202602,EXP676119,11,0,False,EXP676119
202602,EXP676543,11,0,False,EXP676543
202602,EXP676746,50,0,False,EXP676746
202602,EXP676769,50,0,False,EXP676769
202602,EXP676841,50,0,False,EXP676841
202602,EXP676911,50,0,False,EXP676911
202602,EXP676995,50,0,False,EXP676995
202602,EXP677004,50,0,False,EXP677004
202602,EXP677008,50,0,False,EXP677008
202602,EXP677009,50,0,False,EXP677009
202602,EXP677779,50,0,False,EXP677779
202603,EXP517372,11,0,False,EXP517372
202603,EXP527325,11,0,False,EXP527325
202603,EXP536051,11,0,False,EXP536051
202603,EXP551127,11,0,False,EXP551127
202603,EXP570792,11,0,False,EXP570792
202603,EXP573171,11,0,False,EXP573171
202603,EXP575913,11,0,False,EXP575913
202603,EXP576292,11,0,False,EXP576292
202603,EXP576795,11,0,False,EXP576795
202603,EXP591531,50,0,False,EXP591531
202603,EXP592119,11,0,False,EXP592119
202603,EXP592364,11,0,False,EXP592364
202603,EXP594196,11,0,False,EXP594196
202603,EXP595197,11,0,False,EXP595197
202603,EXP595589,31,0,False,EXP595589
202603,EXP596640,11,0,False,EXP596640
202603,EXP596643,11,0,False,EXP596643
202603,EXP596950,50,0,False,EXP596950
202603,EXP597086,50,0,False,EXP597086
202603,EXP597117,28,0,False,EXP597117
202603,EXP597523,50,0,False,EXP597523
202603,EXP598134,50,0,False,EXP598134
202603,EXP598396,50,0,False,EXP598396
202603,EXP598513,50,0,False,EXP598513
202603,EXP598828,50,0,False,EXP598828
202603,EXP599220,50,0,False,EXP599220
202603,EXP599350,50,0,False,EXP599350
202603,EXP600742,50,0,False,EXP600742
202603,EXP601100,50,0,False,EXP601100
202603,EXP601532,50,0,False,EXP601532
202603,EXP602663,11,0,False,EXP602663
202603,EXP604428,11,0,False,EXP604428
202603,EXP604505,11,0,False,EXP604505
202603,EXP604535,11,0,False,EXP604535
202603,EXP604734,11,0,False,EXP604734
202603,EXP604856,11,0,False,EXP604856
202603,EXP605339,50,0,False,EXP605339
202603,EXP605437,50,0,False,EXP605437
202603,EXP606390,50,0,False,EXP606390
202603,EXP607784,11,0,False,EXP607784
202603,EXP609004,11,0,False,EXP609004
202603,EXP612095,50,0,False,EXP612095
202603,EXP613157,11,0,False,EXP613157
202603,EXP613312,50,0,False,EXP613312
202603,EXP613652,11,0,False,EXP613652
202603,EXP614347,11,0,False,EXP614347
202603,EXP614420,11,0,False,EXP614420
202603,EXP615651,50,0,False,EXP615651
202603,EXP620255,11,0,False,EXP620255
202603,EXP620783,50,0,False,EXP620783
202603,EXP621834,11,0,False,EXP621834
202603,EXP624403,50,0,False,EXP624403
202603,EXP627376,50,0,False,EXP627376
202603,EXP628431,50,0,False,EXP628431
202603,EXP631228,50,0,False,EXP631228
202603,EXP634077,50,0,False,EXP634077
202603,EXP646895,11,0,False,EXP646895
202603,EXP647957,11,0,False,EXP647957
202603,EXP648497,11,0,False,EXP648497
202603,EXP649292,50,0,False,EXP649292
202603,EXP649356,50,0,False,EXP649356
202603,EXP649400,50,0,False,EXP649400
202603,EXP649420,50,0,False,EXP649420
202603,EXP649548,50,0,False,EXP649548
202603,EXP649559,50,0,False,EXP649559
202603,EXP649590,50,0,False,EXP649590
202603,EXP649749,50,0,False,EXP649749
202603,EXP650032,50,0,False,EXP650032
202603,EXP650118,50,0,False,EXP650118
202603,EXP650142,50,0,False,EXP650142
202603,EXP650268,50,0,False,EXP650268
202603,EXP650570,50,0,False,EXP650570
202603,EXP650587,11,0,False,EXP650587
202603,EXP650656,11,0,False,EXP650656
202603,EXP650750,11,0,False,EXP650750
202603,EXP651188,50,0,False,EXP651188
202603,EXP651276,50,0,False,EXP651276
202603,EXP651280,50,0,False,EXP651280
202603,EXP651474,50,0,False,EXP651474
202603,EXP652011,50,0,False,EXP652011
202603,EXP652024,50,0,False,EXP652024
202603,EXP652096,50,0,False,EXP652096
202603,EXP652193,50,0,False,EXP652193
202603,EXP652709,50,0,False,EXP652709
202603,EXP653086,50,0,False,EXP653086
202603,EXP653234,50,0,False,EXP653234
202603,EXP653343,50,0,False,EXP653343
202603,EXP653370,20,0,False,EXP653370
202603,EXP653370,50,0,False,EXP653370
202603,EXP653879,50,0,False,EXP653879
202603,EXP654022,50,0,False,EXP654022
202603,EXP654290,50,0,False,EXP654290
202603,EXP654380,50,0,False,EXP654380
202603,EXP654399,50,0,False,EXP654399
202603,EXP654687,50,0,False,EXP654687
202603,EXP654924,50,0,False,EXP654924
202603,EXP655433,50,0,False,EXP655433
202603,EXP655568,50,0,False,EXP655568
202603,EXP655708,11,0,False,EXP655708
202603,EXP656116,50,0,False,EXP656116
202603,EXP656249,50,0,False,EXP656249
202603,EXP657461,11,0,False,EXP657461
202603,EXP657554,50,0,False,EXP657554
202603,EXP657782,11,0,False,EXP657782
202603,EXP657806,50,0,False,EXP657806
202603,EXP657808,50,0,False,EXP657808
202603,EXP657818,50,0,False,EXP657818
202603,EXP657851,50,0,False,EXP657851
202603,EXP658310,50,0,False,EXP658310
202603,EXP658622,50,0,False,EXP658622
202603,EXP658706,11,0,False,EXP658706
202603,EXP658708,11,0,False,EXP658708
202603,EXP659017,50,0,False,EXP659017
202603,EXP661399,50,0,False,EXP661399
202603,EXP661659,50,0,False,EXP661659
202603,EXP662776,50,0,False,EXP662776
202603,EXP662791,50,0,False,EXP662791
202603,EXP663885,50,0,False,EXP663885
202603,EXP663958,33,0,False,EXP663958
202603,EXP663958,50,0,False,EXP663958
202603,EXP664140,50,0,False,EXP664140
202603,EXP664257,50,0,False,EXP664257
202603,EXP666062,11,0,False,EXP666062
202603,EXP666095,11,0,False,EXP666095
202603,EXP666962,50,0,False,EXP666962
202603,EXP667983,50,0,False,EXP667983
202603,EXP672986,11,0,False,EXP672986
202603,EXP673983,50,0,False,EXP673983
202603,EXP674772,11,0,False,EXP674772
202603,EXP674804,11,0,False,EXP674804
202603,EXP675589,11,0,False,EXP675589
202603,EXP675840,11,0,False,EXP675840
202603,EXP676119,11,0,False,EXP676119
202603,EXP676543,11,0,False,EXP676543
202603,EXP676746,50,0,False,EXP676746
202603,EXP676769,50,0,False,EXP676769
202603,EXP676841,50,0,False,EXP676841
202603,EXP676911,50,0,False,EXP676911
202603,EXP676995,50,0,False,EXP676995
202603,EXP677004,50,0,False,EXP677004
202603,EXP677008,50,0,False,EXP677008
202603,EXP677009,50,0,False,EXP677009
202603,EXP677779,50,0,False,EXP677779
202603,EXP800033,31,0,False,EXP800033
